product_id,category,brand,title,description,price
311455,Books|Literature &amp; Fiction|Genre Fiction,Donna Mabry,The Cabin: The Manhattan Stories,"A Michigan native who studied writing in school, Donna first came to Vegas to make costumes and soon was weaving the stories she heard in the back of the girls' dressing room into her first novel. Now she is the author of The Alexandra Merritt Mysteries, which include 'The Last Two Aces in Las Vegas', 'The Las Vegas Desert Flower', 'The Las Vegas Special', 'Rough Ride in Vegas', 'M.I.A. Las Vegas' and the recently released ""The Las Vegas Sophisticate'.<br />Donna has written several other stand-alone thrillers, 'Desperate Ambition', about a political assassination, 'The Right Society', about a devout Christian family that moves into a religious community and finds it's easier to get in than it is to get out, and The Other Hand, about a famous athlete who leaves his family for a young, virginal girl. Shortly after they divorce, she winds up slaughtered. He is the primary suspect, but not the only one. Donna has a popular series of historical romances, The Manhattan Stories, 'Jessica', 'Pillsbury Crossing', 'The Cabin', 'Kimimela', and 'D'Arcy Curran'. A sixth and seventh in this series will be released soon.<br />Her light-hearted work, 'Conversations With Skip', is the story of a shelter dog adopted by a young woman having trouble sleeping after her divorce. With his unusual ability to communicate, he is soon running her life, arranging her romances, and teaching her to laugh again.<br />Her most popular novel, 'Maude', the story of her Grandmother, is a #1 best-seller on Amazon and has spent multiple weeks on the Wall Street Journal's Top-10 list. 'Maude' is now available as an audiobook, was recently released in Italian and is currently being translated into Russian, German and Slovak for upcoming international editions.<br />She has also written three screenplays, a stage play, poetry, short stories, and a children's story.<br />Donna stills takes occasional classes at UNLV and at writer's conferences and is an active member of the Anthem Author's in Henderson, NV.",16.95
311478,Books|Literature &amp; Fiction|Women's Fiction,Visit Amazon's Luke Young Page,Friends With Partial Benefits (Friends With... Benefits Series (Book 1)),,9.99
311556,Books|Science Fiction &amp; Fantasy|Fantasy,Emma Mills,Witchblood (Volume 1),,8.99
311750,"Books|Mystery, Thriller &amp; Suspense|Mystery",Visit Amazon's Estelle Ryan Page,The Gauguin Connection: A Genevieve Lenard Novel,"Thank you so much forbuyingor considering<i><b>The Gauguin Connection</b></i>. Writing it was a huge adventure. Notonlydid I learn a lot of interesting things (including bore lapping - Vinnie,oneof the characters, will tell you all about it), but I also was lucky enoughtocombine all my passions in one book. My interest in international politics,music, art, psychology, criminal psychology, nonverbal communication and allthingsconspiratorial flowed together in Genevieve's life.<b><br /><br />Genevieve Lenard series:</b><br />1.  The Gauguin Connection<br />2.  The Dante Connection<br />3.  The Braque Connection<br />4.  The Flinck Connection<br />5.  The Courbet Connection<br />6.  The Pucelle Connection<br />7.  The Lger Connection<br />8.  The Morisot Connection",15.99
311817,Books|Literature &amp; Fiction|Women's Fiction,Visit Amazon's Jodi LaPalm Page,The Oak Tree,"""<i>The Oak Tree</i> is very well written and another good story. LaPalm's characters are so real you can identify with them and the true-to-life situations they encounter and overcome. This author gets into the head and heart of the characters - and you'll want to keep reading! I enjoyed all of LaPalm's books - but The Oak Tree is one of my favorites to date."" <b>-Amazon Reviewer</b>",5.5
311852,Books|Romance|Contemporary,Visit Amazon's Chloe Cox Page,Sold to the Sheikh: Club Volare,,11.99
311879,Books|Science Fiction &amp; Fantasy|Science Fiction,Douglas Niles,Final Failure Eyeball to Eyeball,,9.95
311886,Books|Romance|Time Travel,Visit Amazon's Sarah Woodbury Page,Winds of Time (The After Cilmeri Series),,6.95
311905,"Books|Lesbian, Gay, Bisexual &amp; Transgender Books|Literature &amp; Fiction",Visit Amazon's T. Baggins Page,Fifteen Shades of Gay (For Pay) (Volume 1),"Orphaned at birth, T. Baggins was raised by wolves until age fourteen, when the pack moved on one night without a forwarding address. Returning to human society, Ms. Baggins taught herself to read and write by studying fan fiction. Cutting her teeth on Kirk/Spock (Star Trek: The Original Series, baby!) she soon began slashing rock stars and X-Men. Despite a lifetime spent in the southern U.S., T. Baggins considers herself a citizen of the cosmos and a freethinker, which is good, because no one has offered so much as a penny for her thoughts. Recently, T. Baggins returned to the Stygian darkness which spawned her. But if you feel the need to contact her, try her Facebook page.",9.85
311936,Books|Literature &amp; Fiction|Genre Fiction,Visit Amazon's Chris Blewitt Page,The Lost Journal,"A writer as well as a reader, I am always perusing the virtual bookshelves looking for the next great novel. I enjoy reading thrillers and mysteries of popular authors like John Sandford, Lee Child, Harlan Coben, T. Jefferson Parker, and Vince Flynn. There are also some new authors that have caught my eye like Michael Wallace, Dan Dawkins, Cheryl Bradshaw and J. Carson Black. I've even inspired my 14-yr old nephew, Jake, to write &amp; publish his own short story, Third Time's the Charm. I'm a history buff which brought about the writing of The Chemist and the newly released, The Lost Journal. As a golf enthusiast, I thoroughly enjoyed writing Deep Rough. A 10-handicapper, I am still trying to get my handicap back in the single digits like it was at one time (5.5) before kids!",11.99
311967,Books|Humor &amp; Entertainment|Humor,Visit Amazon's Tara Sivec Page,Troubles and Treats: A Silly Journey Through a Sticky Situation (Chocolate Lovers),,14.99
311979,Books|Romance|Contemporary,Visit Amazon's Natasha Preston Page,Broken Silence,,7.99
311996,"Books|Mystery, Thriller &amp; Suspense|Mystery",Visit Amazon's C. L. Bevill Page,Bubba and the Dead Woman,"C.L. Bevill has lived in Texas, Virginia, Arizona, and Oregon. She once was in the US Army and a graphic illustrator. She holds degrees in social psychology and counseling. She is the author of Bubba and the Dead Woman, Bubba and the 12 Deadly Days of Christmas, Bayou Moon, and Shadow People, among others. Presently she lives with her husband and her daughter and continues to constantly write. She can be reached at www.clbevill.com or you can read her blog at www.carwoo.blogspot.com",11.95
312010,Books|Christian Books &amp; Bibles|Christian Denominations &amp; Sects,Visit Amazon's Sarah Price Page,Plain Fame: The Plain Fame Trilogy,"<b>FIVE STAR REVIEW ON AMAZON</b><br /><i>By Dianna Bupp</i><br /><br />Sarah Price once again engages her readers in a tender drama that leaves you wondering if two very different worlds...the Amish and the English can collide and still leave us with beauty.<br />After Alejandro Diaz a famous Cuban singer, crosses paths with Amanda Beiler an Amish girl in the middle of NYC, the beauty begins. Alejandro's world becomes Amanda's, and Amanda seeks her own path in the light of Alejandro. Fantastic and well written....mostly beautiful.",1.47
